Year,data.category,Value
2000,data.Industries,64.55
2001,data.Industries,60.89
2002,data.Industries,61.37
2003,data.Industries,63.91
2004,data.Industries,71.24
2005,data.Industries,73.13
2006,data.Industries,75.5
2007,data.Industries,79.96
2008,data.Industries,81.73
2009,data.Industries,82.53
2010,data.Industries,91.18
2011,data.Industries,96.23
2012,data.Industries,97.33
2013,data.Industries,100.87
2014,data.Industries,101.9
2015,data.Industries,104.19
2016,data.Industries,107.67
2017,data.Industries,113.99
2018,data.Industries,115.89
2019,data.Industries,113.27
2020,data.Industries,110.76
2000,data.Agriculture(ISIC4_A01_A0210_A0322),1.29
2001,data.Agriculture(ISIC4_A01_A0210_A0322),1.29
2002,data.Agriculture(ISIC4_A01_A0210_A0322),1.29
2003,data.Agriculture(ISIC4_A01_A0210_A0322),1.29
2004,data.Agriculture(ISIC4_A01_A0210_A0322),1.39
2005,data.Agriculture(ISIC4_A01_A0210_A0322),1.33
2006,data.Agriculture(ISIC4_A01_A0210_A0322),1.37
2007,data.Agriculture(ISIC4_A01_A0210_A0322),1.2
2008,data.Agriculture(ISIC4_A01_A0210_A0322),1.03
2009,data.Agriculture(ISIC4_A01_A0210_A0322),0.94
2010,data.Agriculture(ISIC4_A01_A0210_A0322),0.96
2011,data.Agriculture(ISIC4_A01_A0210_A0322),1.02
2012,data.Agriculture(ISIC4_A01_A0210_A0322),1.04
2013,data.Agriculture(ISIC4_A01_A0210_A0322),1.03
2014,data.Agriculture(ISIC4_A01_A0210_A0322),1.04
2015,data.Agriculture(ISIC4_A01_A0210_A0322),1.04
2016,data.Agriculture(ISIC4_A01_A0210_A0322),0.99
2017,data.Agriculture(ISIC4_A01_A0210_A0322),1.02
2018,data.Agriculture(ISIC4_A01_A0210_A0322),0.99
2019,data.Agriculture(ISIC4_A01_A0210_A0322),0.97
2020,data.Agriculture(ISIC4_A01_A0210_A0322),1.05
2000,data.Services(ISIC4_G_to_T),74.13
2001,data.Services(ISIC4_G_to_T),64.5
2002,data.Services(ISIC4_G_to_T),58.82
2003,data.Services(ISIC4_G_to_T),65.23
2004,data.Services(ISIC4_G_to_T),72.51
2005,data.Services(ISIC4_G_to_T),82.83
2006,data.Services(ISIC4_G_to_T),87.9
2007,data.Services(ISIC4_G_to_T),92.91
2008,data.Services(ISIC4_G_to_T),95.82
2009,data.Services(ISIC4_G_to_T),96.26
2010,data.Services(ISIC4_G_to_T),100.15
2011,data.Services(ISIC4_G_to_T),102.71
2012,data.Services(ISIC4_G_to_T),105.52
2013,data.Services(ISIC4_G_to_T),108.81
2014,data.Services(ISIC4_G_to_T),113.14
2015,data.Services(ISIC4_G_to_T),129.97
2016,data.Services(ISIC4_G_to_T),130.96
2017,data.Services(ISIC4_G_to_T),133.05
2018,data.Services(ISIC4_G_to_T),138.16
2019,data.Services(ISIC4_G_to_T),145.19
2020,data.Services(ISIC4_G_to_T),144.46
2000,data.Total(no_breakdown),27.56
2001,data.Total(no_breakdown),27.07
2002,data.Total(no_breakdown),27.45
2003,data.Total(no_breakdown),29.16
2004,data.Total(no_breakdown),31.62
2005,data.Total(no_breakdown),31.51
2006,data.Total(no_breakdown),35.44
2007,data.Total(no_breakdown),37.42
2008,data.Total(no_breakdown),38.44
2009,data.Total(no_breakdown),38.72
2010,data.Total(no_breakdown),41.22
2011,data.Total(no_breakdown),42.83
2012,data.Total(no_breakdown),43.84
2013,data.Total(no_breakdown),45.36
2014,data.Total(no_breakdown),46.77
2015,data.Total(no_breakdown),49.39
2016,data.Total(no_breakdown),50.54
2017,data.Total(no_breakdown),52.11
2018,data.Total(no_breakdown),53.66
2019,data.Total(no_breakdown),54.95
2020,data.Total(no_breakdown),54.41
