Year,data.category,Value
2002,data.Basic_drinking_water_services,98.55287
2003,data.Basic_drinking_water_services,98.55287
2004,data.Basic_drinking_water_services,98.55287
2005,data.Basic_drinking_water_services,98.55287
2006,data.Basic_drinking_water_services,98.55287
2007,data.Basic_drinking_water_services,98.66513
2008,data.Basic_drinking_water_services,98.77738
2009,data.Basic_drinking_water_services,98.88963
2010,data.Basic_drinking_water_services,99.00189
2011,data.Basic_drinking_water_services,99.11414
2012,data.Basic_drinking_water_services,99.22639
2013,data.Basic_drinking_water_services,99.33864
2014,data.Basic_drinking_water_services,99.4509
2015,data.Basic_drinking_water_services,99.56315
2016,data.Basic_drinking_water_services,99.6754
2017,data.Basic_drinking_water_services,99.78765
2000,data.Basic_sanitation_services,100
2001,data.Basic_sanitation_services,100
2002,data.Basic_sanitation_services,100
2003,data.Basic_sanitation_services,100
2004,data.Basic_sanitation_services,100
2005,data.Basic_sanitation_services,100
2006,data.Basic_sanitation_services,100
2007,data.Basic_sanitation_services,100
2008,data.Basic_sanitation_services,100
2009,data.Basic_sanitation_services,100
2010,data.Basic_sanitation_services,100
2011,data.Basic_sanitation_services,100
2012,data.Basic_sanitation_services,100
2013,data.Basic_sanitation_services,100
2014,data.Basic_sanitation_services,100
2015,data.Basic_sanitation_services,100
2016,data.Basic_sanitation_services,100
2017,data.Basic_sanitation_services,100
