Year,Units,Value
2000,data.Proportion_of_population_using_safely_managed_sanitation_services,87.2093
2001,data.Proportion_of_population_using_safely_managed_sanitation_services,87.8377
2002,data.Proportion_of_population_using_safely_managed_sanitation_services,88.4681
2003,data.Proportion_of_population_using_safely_managed_sanitation_services,89.1007
2004,data.Proportion_of_population_using_safely_managed_sanitation_services,89.7353
2005,data.Proportion_of_population_using_safely_managed_sanitation_services,90.3683
2006,data.Proportion_of_population_using_safely_managed_sanitation_services,91.0028
2007,data.Proportion_of_population_using_safely_managed_sanitation_services,91.6410
2008,data.Proportion_of_population_using_safely_managed_sanitation_services,92.2731
2009,data.Proportion_of_population_using_safely_managed_sanitation_services,92.9056
2010,data.Proportion_of_population_using_safely_managed_sanitation_services,93.5411
2011,data.Proportion_of_population_using_safely_managed_sanitation_services,94.1794
2012,data.Proportion_of_population_using_safely_managed_sanitation_services,94.8203
2013,data.Proportion_of_population_using_safely_managed_sanitation_services,95.4637
2014,data.Proportion_of_population_using_safely_managed_sanitation_services,96.1092
2015,data.Proportion_of_population_using_safely_managed_sanitation_services,96.7568
2016,data.Proportion_of_population_using_safely_managed_sanitation_services,97.4063
2017,data.Proportion_of_population_using_safely_managed_sanitation_services,98.0576
2018,data.Proportion_of_population_using_safely_managed_sanitation_services,98.6330
2019,data.Proportion_of_population_using_safely_managed_sanitation_services,99.1922
2020,data.Proportion_of_population_using_safely_managed_sanitation_services,99.4794
2021,data.Proportion_of_population_using_safely_managed_sanitation_services,99.4633
2022,data.Proportion_of_population_using_safely_managed_sanitation_services,99.4475
2000,data.Proportion_of_population_practicing_open_defecation,0
2001,data.Proportion_of_population_practicing_open_defecation,0
2002,data.Proportion_of_population_practicing_open_defecation,0
2003,data.Proportion_of_population_practicing_open_defecation,0
2004,data.Proportion_of_population_practicing_open_defecation,0
2005,data.Proportion_of_population_practicing_open_defecation,0
2006,data.Proportion_of_population_practicing_open_defecation,0
2007,data.Proportion_of_population_practicing_open_defecation,0
2008,data.Proportion_of_population_practicing_open_defecation,0
2009,data.Proportion_of_population_practicing_open_defecation,0
2010,data.Proportion_of_population_practicing_open_defecation,0
2011,data.Proportion_of_population_practicing_open_defecation,0
2012,data.Proportion_of_population_practicing_open_defecation,0
2013,data.Proportion_of_population_practicing_open_defecation,0
2014,data.Proportion_of_population_practicing_open_defecation,0
2015,data.Proportion_of_population_practicing_open_defecation,0
2016,data.Proportion_of_population_practicing_open_defecation,0
2017,data.Proportion_of_population_practicing_open_defecation,0
2018,data.Proportion_of_population_practicing_open_defecation,0
2019,data.Proportion_of_population_practicing_open_defecation,0
2020,data.Proportion_of_population_practicing_open_defecation,0
2021,data.Proportion_of_population_practicing_open_defecation,0
2022,data.Proportion_of_population_practicing_open_defecation,0
