Year,data.category,Value
2015,data.Experience_of_physical_punishment,24.8
2016,data.Experience_of_physical_punishment,24.1
2017,data.Experience_of_physical_punishment,26.3
2018,data.Experience_of_physical_punishment,26.0
2019,data.Experience_of_physical_punishment,25.0
2020,data.Experience_of_physical_punishment,22.9
2021,data.Experience_of_physical_punishment,24.0
2022,data.Experience_of_physical_punishment,23.0
2015,data.Experience_of_hearing_insulting_words,29.8
2016,data.Experience_of_hearing_insulting_words,30.4
2017,data.Experience_of_hearing_insulting_words,31.8
2018,data.Experience_of_hearing_insulting_words,31.3
2019,data.Experience_of_hearing_insulting_words,30.2
2020,data.Experience_of_hearing_insulting_words,28.8
2021,data.Experience_of_hearing_insulting_words,30.5
2022,data.Experience_of_hearing_insulting_words,30.5
