Year,Units,Value
2008,data.G4_Non-performing_loans_to_total_gross_loans,0.57191
2009,data.G4_Non-performing_loans_to_total_gross_loans,0.5845
2010,data.G4_Non-performing_loans_to_total_gross_loans,0.588
2011,data.G4_Non-performing_loans_to_total_gross_loans,0.48416
2012,data.G4_Non-performing_loans_to_total_gross_loans,0.59429
2013,data.G4_Non-performing_loans_to_total_gross_loans,0.57068
2014,data.G4_Non-performing_loans_to_total_gross_loans,0.48783
2015,data.G4_Non-performing_loans_to_total_gross_loans,0.45686
2016,data.G4_Non-performing_loans_to_total_gross_loans,0.46921
2017,data.G4_Non-performing_loans_to_total_gross_loans,0.35236
2018,data.G4_Non-performing_loans_to_total_gross_loans,0.25443
2019,data.G4_Non-performing_loans_to_total_gross_loans,0.25114
2020,data.G4_Non-performing_loans_to_total_gross_loans,0.2491
2008,data.G5_Return_on_assets,0.6738
2009,data.G5_Return_on_assets,0.5452 
2010,data.G5_Return_on_assets,0.7376
2011,data.G5_Return_on_assets,1.0388
2012,data.G5_Return_on_assets,0.6551
2013,data.G5_Return_on_assets,0.3232
2014,data.G5_Return_on_assets,0.4831
2015,data.G5_Return_on_assets,0.5303
2016,data.G5_Return_on_assets,0.3609
2017,data.G5_Return_on_assets,0.6696 
2018,data.G5_Return_on_assets,0.7728 
2019,data.G5_Return_on_assets,0.7179
2020,data.G5_Return_on_assets,0.70671
2008,data.G1_Regulatory_capital_to_assets,6.3523
2009,data.G1_Regulatory_capital_to_assets,7.2379
2010,data.G1_Regulatory_capital_to_assets,7.4100
2011,data.G1_Regulatory_capital_to_assets,7.0420
2012,data.G1_Regulatory_capital_to_assets,7.1448
2013,data.G1_Regulatory_capital_to_assets,7.3920
2014,data.G1_Regulatory_capital_to_assets,7.3943 
2015,data.G1_Regulatory_capital_to_assets,7.2538
2016,data.G1_Regulatory_capital_to_assets,7.7863 
2017,data.G1_Regulatory_capital_to_assets,7.9296
2018,data.G1_Regulatory_capital_to_assets,7.8817
2019,data.G1_Regulatory_capital_to_assets,7.7341
2020,data.G1_Regulatory_capital_to_assets,7.5105 
2008,data.G3_Non-performing_loans_net_of_provisions_to_capital,2.4248
2009,data.G3_Non-performing_loans_net_of_provisions_to_capital,2.4609
2010,data.G3_Non-performing_loans_net_of_provisions_to_capital,2.8975
2011,data.G3_Non-performing_loans_net_of_provisions_to_capital,2.5065
2012,data.G3_Non-performing_loans_net_of_provisions_to_capital,2.8439
2013,data.G3_Non-performing_loans_net_of_provisions_to_capital,3.2335
2014,data.G3_Non-performing_loans_net_of_provisions_to_capital,2.5253
2015,data.G3_Non-performing_loans_net_of_provisions_to_capital,1.9654
2016,data.G3_Non-performing_loans_net_of_provisions_to_capital,1.8980
2017,data.G3_Non-performing_loans_net_of_provisions_to_capital,1.5099
2018,data.G3_Non-performing_loans_net_of_provisions_to_capital,1.1706
2019,data.G3_Non-performing_loans_net_of_provisions_to_capital,1.1097
2020,data.G3_Non-performing_loans_net_of_provisions_to_capital,1.1305
2008,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,9.6051
2009,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,11.5122 
2010,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,12.0960 
