Year,Units,Value
2000,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,20.79397
2001,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,20.79397
2002,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,20.79604
2003,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,20.83283
2004,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,20.83283
2005,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,20.8329
2006,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,25.80287
2007,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,25.80375
2008,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,31.9935
2009,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,32.64781
2010,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,32.64781
2011,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,32.81544
2012,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,36.81544
2013,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,36.82553
2014,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,36.82553
2015,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,36.8271
2016,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,36.8271
2017,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,37.02608
2018,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,38.55053
2019,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,38.68079
2020,보호구역이 적용되는 해양핵심생물다양성지역 평균 비율,38.68079
2020,해양면적 대비 보호구역 면적 비율,2.46
2020,보호되는 해양면적,7979.39419
