Year,성별,Value
2007,,29.8
2007,남성,28.9
2007,여성,30.7
2008,,26.4
2008,남성,24.4
2008,여성,28.4
2009,,28.0
2009,남성,25.5
2009,여성,30.5
2010,,30.5
2010,남성,28.7
2010,여성,32.3
2011,,32.4
2011,남성,30.7
2011,여성,34.0
2012,,35.6
2012,남성,31.8
2012,여성,39.4
2013,,30.2
2013,남성,29.1
2013,여성,31.3
2014,,36.8
2014,남성,37.5
2014,여성,36.1
2015,,40.6
2015,남성,41.3
2015,여성,39.8
2016,,35.7
2016,남성,34.4
2016,여성,37.1
2017,,34.4
2017,남성,32.4
2017,여성,36.4
2018,,41.2
2018,남성,39.5
2018,여성,42.9
2019,,41.7
2019,남성,40.8
2019,여성,42.6
2020,,40.0
2020,남성,39.7
2020,여성,40.3
