Year,성별,Value
2000,,13.7
2000,남성,19.0
2000,여성,8.4
2001,,14.6
2001,남성,20.3
2001,여성,8.7
2002,,18.0
2002,남성,24.7
2002,여성,11.2
2003,,22.7
2003,남성,31.2
2003,여성,14.1
2004,,23.9
2004,남성,32.6
2004,여성,15.0
2005,,24.8
2005,남성,33.1
2005,여성,16.6
2006,,22.0
2006,남성,29.7
2006,여성,14.2
2007,,24.9
2007,남성,31.6
2007,여성,18.2
2008,,26.0
2008,남성,33.4
2008,여성,18.7
2009,,31.0
2009,남성,39.9
2009,여성,22.1
2010,,31.2
2010,남성,41.4
2010,여성,21.0
2011,,31.7
2011,남성,43.3
2011,여성,20.1
2012,,28.1
2012,남성,38.2
2012,여성,18.0
2013,,28.5
2013,남성,39.8
2013,여성,17.3
2014,,27.3
2014,남성,38.4
2014,여성,16.1
2015,,26.5
2015,남성,37.5
2015,여성,15.5
2016,,25.6
2016,남성,36.2
2016,여성,15.0
2017,,24.3
2017,남성,34.9
2017,여성,13.8
2018,,26.6
2018,남성,38.5
2018,여성,14.8
2019,,26.9
2019,남성,38.0
2019,여성,15.8
2020,,25.7
2020,남성,35.5
2020,여성,15.9
