Year,성별,Value
2000,,10.8
2000,남성,13.6
2000,여성,9.0
2001,,10.2
2001,남성,12.7
2001,여성,8.6
2002,,8.5
2002,남성,10.3
2002,여성,7.5
2003,,10.1
2003,남성,11.9
2003,여성,9.0
2004,,10.5
2004,남성,12.2
2004,여성,9.4
2005,,10.2
2005,남성,12.2
2005,여성,9.0
2006,,10.0
2006,남성,11.7
2006,여성,9.0
2007,,8.8
2007,남성,11.4
2007,여성,7.2
2008,,9.3
2008,남성,11.5
2008,여성,7.9
2009,,9.9
2009,남성,11.9
2009,여성,8.6
2010,,9.8
2010,남성,11.2
2010,여성,9.0
2011,,9.6
2011,남성,12.1
2011,여성,8.1
2012,,9.0
2012,남성,9.7
2012,여성,8.5
2013,,9.3
2013,남성,9.8
2013,여성,9.0
2014,,10.0
2014,남성,11.2
2014,여성,9.2
2015,,10.5
2015,남성,11.3
2015,여성,10.0
2016,,10.7
2016,남성,11.0
2016,여성,10.5
2017,,10.4
2017,남성,11.3
2017,여성,9.7
