Year,성별,Value
2000,,219
2000,data.male,194
2000,data.female,25
2001,,327
2001,data.male,292
2001,data.female,35
2002,,397
2002,data.male,363
2002,data.female,34
2003,,533
2003,data.male,502
2003,data.female,31
2004,,610
2004,data.male,557
2004,data.female,53
2005,,680
2005,data.male,640
2005,data.female,40
2006,,749
2006,data.male,687
2006,data.female,62
2007,,740
2007,data.male,698
2007,data.female,42
2008,,797
2008,data.male,743
2008,data.female,54
2009,,768
2009,data.male,710
2009,data.female,58
2010,,773
2010,data.male,723
2010,data.female,50
2011,,888
2011,data.male,827
2011,data.female,61
2012,,868
2012,data.male,808
2012,data.female,60
2013,,1013
2013,data.male,946
2013,data.female,67
2014,,1081
2014,data.male,1016
2014,data.female,65
2015,,1018
2015,data.male,974
2015,data.female,44
2016,,1060
2016,data.male,1000
2016,data.female,60
2017,,1008
2017,data.male,958
2017,data.female,50
2018,,989
2018,data.male,945
2018,data.female,44
2019,,1006
2019,data.male,953
2019,data.female,53
2020,,818
2020,data.male,790
2020,data.female,28
2021,,773
2021,data.male,742
2021,data.female,31
