Year,구분,Value
2005,사망 또는 실종자,0.1086
2005,직접영향인구,30.5941
2006,사망 또는 실종자,0.1415
2006,직접영향인구,55.6053
2007,사망 또는 실종자,0.0477
2007,직접영향인구,37.5003
2008,사망 또는 실종자,0.1343
2008,직접영향인구,11.6431
2009,사망 또는 실종자,0.4878
2009,직접영향인구,35.0652
2010,사망 또는 실종자,0.0737
2010,직접영향인구,190.5883
2011,사망 또는 실종자,0.1647
2011,직접영향인구,171.1633
2012,사망 또는 실종자,0.0423
2012,직접영향인구,52.6418
2013,사망 또는 실종자,0.0319
2013,직접영향인구,10.6232
2014,사망 또는 실종자,0.8169
2014,직접영향인구,22.6798
2015,사망 또는 실종자,0.1314
2015,직접영향인구,1.0587
2016,사망 또는 실종자,0.0507
2016,직접영향인구,17.7966
2017,사망 또는 실종자,0.1398
2017,직접영향인구,42.8818
2018,사망 또는 실종자,0.2825
2018,직접영향인구,25.5414
2019,사망 또는 실종자,0.2143
2019,직접영향인구,17.7503
2020,사망 또는 실종자,2.0889
2020,직접영향인구,254.099
