Year,Units,Value
2000,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),20.79397
2001,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),20.79397
2002,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),20.79604
2003,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),20.83283
2004,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),20.83283
2005,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),20.8329
2006,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),25.80287
2007,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),25.80375
2008,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),31.9935
2009,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),32.64781
2010,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),32.64781
2011,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),32.81544
2012,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),36.81544
2013,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),36.82553
2014,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),36.82553
2015,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),36.8271
2016,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),36.8271
2017,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),37.02608
2018,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),38.55053
2019,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),38.68079
2020,Average_proportion_of_Marine_Key_Biodiversity_Areas_(KBAs)_covered_by_protected_areas_(%),38.68079
