Year,Units,Value
2000,data.National_parliaments,3.68
2001,data.National_parliaments,5.86
2002,data.National_parliaments,5.86
2003,data.National_parliaments,5.86
2004,data.National_parliaments,5.54
2005,data.National_parliaments,13.04
2006,data.National_parliaments,13.38
2007,data.National_parliaments,13.38
2008,data.National_parliaments,14.38
2009,data.National_parliaments,13.71
2010,data.National_parliaments,14.72
2011,data.National_parliaments,14.72
2012,data.National_parliaments,14.72
2013,data.National_parliaments,15.67
2014,data.National_parliaments,15.67
2015,data.National_parliaments,16.33
2016,data.National_parliaments,16.33
2017,data.National_parliaments,17.0
2018,data.National_parliaments,17.0
2019,data.National_parliaments,17.11
2020,data.National_parliaments,17.29
2018,data.Local_assembly,18.59
