Year,data.category,Value
2005,data.dead_or_missing,0.10999
2005,data.dead_or_missing,30.13204
2006,data.dead_or_missing,0.14383
2006,data.dead_or_missing,54.94476
2007,data.dead_or_missing,0.04865
2007,data.dead_or_missing,37.18728
2008,data.dead_or_missing,0.13748
2008,data.dead_or_missing,11.5899
2009,data.dead_or_missing,0.50128
2009,data.dead_or_missing,35.03071
2010,data.dead_or_missing,0.20379
2010,data.dead_or_missing,316.08343
2011,data.dead_or_missing,0.16673
2011,data.dead_or_missing,180.19194
2012,data.directly_affected,0.04323
2012,data.directly_affected,55.94064
2013,data.directly_affected,0.03294
2013,data.directly_affected,11.37706
2014,data.directly_affected,0.85014
2014,data.directly_affected,24.13977
2015,data.directly_affected,0.13119
2015,data.directly_affected,1.05543
2016,data.directly_affected,0.05071
2016,data.directly_affected,17.80979
2017,data.directly_affected,0.14002
2017,data.directly_affected,42.9559
2018,data.directly_affected,0.28278
2018,data.directly_affected,26.48386
