Year,data.category,Value
2015,data.Experience_of_physical_punishment,75.2
2016,data.Experience_of_physical_punishment,75.9
2017,data.Experience_of_physical_punishment,73.7
2018,data.Experience_of_physical_punishment,74.0
2019,data.Experience_of_physical_punishment,75.0
2020,data.Experience_of_physical_punishment,77.1
2015,data.Experience_of_hearing_insulting_words,70.2
2016,data.Experience_of_hearing_insulting_words,69.6
2017,data.Experience_of_hearing_insulting_words,68.2
2018,data.Experience_of_hearing_insulting_words,68.7
2019,data.Experience_of_hearing_insulting_words,69.8
2020,data.Experience_of_hearing_insulting_words,71.2
