Year,Category,Value
2015,Experience of physical punishment,24.8
2016,Experience of physical punishment,24.1
2017,Experience of physical punishment,26.3
2018,Experience of physical punishment,26.0
2019,Experience of physical punishment,25.0
2020,Experience of physical punishment,22.9
2021,Experience of physical punishment,24.0
2022,Experience of physical punishment,23.0
2015,Experience of hearing insulting words,29.8
2016,Experience of hearing insulting words,30.4
2017,Experience of hearing insulting words,31.8
2018,Experience of hearing insulting words,31.3
2019,Experience of hearing insulting words,30.2
2020,Experience of hearing insulting words,28.8
2021,Experience of hearing insulting words,30.5
2022,Experience of hearing insulting words,30.5
