Year,Value,Units
2000,87.2093,data.Proportion_of_population_using_safely_managed_sanitation_services
2001,87.8377,data.Proportion_of_population_using_safely_managed_sanitation_services
2002,88.4681,data.Proportion_of_population_using_safely_managed_sanitation_services
2003,89.1007,data.Proportion_of_population_using_safely_managed_sanitation_services
2004,89.7353,data.Proportion_of_population_using_safely_managed_sanitation_services
2005,90.3683,data.Proportion_of_population_using_safely_managed_sanitation_services
2006,91.0028,data.Proportion_of_population_using_safely_managed_sanitation_services
2007,91.641,data.Proportion_of_population_using_safely_managed_sanitation_services
2008,92.2731,data.Proportion_of_population_using_safely_managed_sanitation_services
2009,92.9056,data.Proportion_of_population_using_safely_managed_sanitation_services
2010,93.5411,data.Proportion_of_population_using_safely_managed_sanitation_services
2011,94.1794,data.Proportion_of_population_using_safely_managed_sanitation_services
2012,94.8203,data.Proportion_of_population_using_safely_managed_sanitation_services
2013,95.4637,data.Proportion_of_population_using_safely_managed_sanitation_services
2014,96.1092,data.Proportion_of_population_using_safely_managed_sanitation_services
2015,96.7568,data.Proportion_of_population_using_safely_managed_sanitation_services
2016,97.4063,data.Proportion_of_population_using_safely_managed_sanitation_services
2017,98.0576,data.Proportion_of_population_using_safely_managed_sanitation_services
2018,98.633,data.Proportion_of_population_using_safely_managed_sanitation_services
2019,99.1922,data.Proportion_of_population_using_safely_managed_sanitation_services
2020,99.4794,data.Proportion_of_population_using_safely_managed_sanitation_services
2021,99.4633,data.Proportion_of_population_using_safely_managed_sanitation_services
2022,99.4475,data.Proportion_of_population_using_safely_managed_sanitation_services
2000,0.0,data.Proportion_of_population_practicing_open_defecation
2001,0.0,data.Proportion_of_population_practicing_open_defecation
2002,0.0,data.Proportion_of_population_practicing_open_defecation
2003,0.0,data.Proportion_of_population_practicing_open_defecation
2004,0.0,data.Proportion_of_population_practicing_open_defecation
2005,0.0,data.Proportion_of_population_practicing_open_defecation
2006,0.0,data.Proportion_of_population_practicing_open_defecation
2007,0.0,data.Proportion_of_population_practicing_open_defecation
2008,0.0,data.Proportion_of_population_practicing_open_defecation
2009,0.0,data.Proportion_of_population_practicing_open_defecation
2010,0.0,data.Proportion_of_population_practicing_open_defecation
2011,0.0,data.Proportion_of_population_practicing_open_defecation
2012,0.0,data.Proportion_of_population_practicing_open_defecation
2013,0.0,data.Proportion_of_population_practicing_open_defecation
2014,0.0,data.Proportion_of_population_practicing_open_defecation
2015,0.0,data.Proportion_of_population_practicing_open_defecation
2016,0.0,data.Proportion_of_population_practicing_open_defecation
2017,0.0,data.Proportion_of_population_practicing_open_defecation
2018,0.0,data.Proportion_of_population_practicing_open_defecation
2019,0.0,data.Proportion_of_population_practicing_open_defecation
2020,0.0,data.Proportion_of_population_practicing_open_defecation
2021,0.0,data.Proportion_of_population_practicing_open_defecation
2022,0.0,data.Proportion_of_population_practicing_open_defecation
