Year,Value,Units
2000,58.68,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2010,98.4,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2015,115.7,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2016,119.04,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2017,122.31,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2018,125.51,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2019,128.63,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2020,131.69,data.Above-ground_biomass_stock_in_forest_(tonnes_per_hectare)
2000,0.0,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2005,0.0,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2010,193.391,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2015,384.216,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2016,390.568,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2017,392.291,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2018,337.616,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2019,214.571,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2020,673.193,data.Forest_area_under_an_independently_verified_forest_management_certification_scheme_(thousands_of_hectares)
2010,-0.14,data.Forest_area_annual_net_change_rate_(%)
2020,-0.16,data.Forest_area_annual_net_change_rate_(%)
2000,59.02,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2010,50.1,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2015,51.73,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2016,50.7,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2017,44.72,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2018,42.92,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2019,41.14,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2020,39.34,data.Proportion_of_forest_area_under_a_long-term_management_plan_(%)
2000,5.32,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
2010,6.52,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
2015,7.02,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
2016,7.02,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
2017,6.86,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
2018,6.86,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
2019,6.86,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
2020,6.86,data.Proportion_of_forest_area_within_legally_established_protected_areas_(%)
