Year,Value,Units
2005,0.10999,data.dead_or_missing
2006,0.14383,data.dead_or_missing
2007,0.04865,data.dead_or_missing
2008,0.13748,data.dead_or_missing
2009,0.50128,data.dead_or_missing
2010,0.20379,data.dead_or_missing
2011,0.16673,data.dead_or_missing
2012,0.04323,data.dead_or_missing
2013,0.03294,data.dead_or_missing
2014,0.85014,data.dead_or_missing
2015,0.13119,data.dead_or_missing
2016,0.05071,data.dead_or_missing
2017,0.14002,data.dead_or_missing
2018,0.28278,data.dead_or_missing
2019,0.21437,data.dead_or_missing
2005,31.14532,data.directly_affected
2006,55.66729,data.directly_affected
2007,36.94187,data.directly_affected
2008,11.2946,data.directly_affected
2009,1528.4374,data.directly_affected
2010,308.97818,data.directly_affected
2011,170.62742,data.directly_affected
2012,52.03314,data.directly_affected
2013,10.40311,data.directly_affected
2014,21.83325,data.directly_affected
2015,1.05543,data.directly_affected
2016,17.80979,data.directly_affected
2017,42.9559,data.directly_affected
2018,25.5629,data.directly_affected
2019,17.75809,data.directly_affected
