Year,Value,Units
2000,3.68,data.National_parliaments
2001,5.86,data.National_parliaments
2002,5.86,data.National_parliaments
2003,5.86,data.National_parliaments
2004,5.54,data.National_parliaments
2005,13.04,data.National_parliaments
2006,13.38,data.National_parliaments
2007,13.38,data.National_parliaments
2008,14.38,data.National_parliaments
2009,13.71,data.National_parliaments
2010,14.72,data.National_parliaments
2011,14.72,data.National_parliaments
2012,14.72,data.National_parliaments
2013,15.67,data.National_parliaments
2014,15.67,data.National_parliaments
2015,16.33,data.National_parliaments
2016,16.33,data.National_parliaments
2017,17.0,data.National_parliaments
2018,17.0,data.National_parliaments
2019,17.11,data.National_parliaments
2020,17.29,data.National_parliaments
2018,18.59,data.Local_assembly
