Year,Units,Value
2000,Proportion of population using safely managed sanitation services,87.2093
2001,Proportion of population using safely managed sanitation services,87.8377
2002,Proportion of population using safely managed sanitation services,88.4681
2003,Proportion of population using safely managed sanitation services,89.1007
2004,Proportion of population using safely managed sanitation services,89.7353
2005,Proportion of population using safely managed sanitation services,90.3683
2006,Proportion of population using safely managed sanitation services,91.0028
2007,Proportion of population using safely managed sanitation services,91.641
2008,Proportion of population using safely managed sanitation services,92.2731
2009,Proportion of population using safely managed sanitation services,92.9056
2010,Proportion of population using safely managed sanitation services,93.5411
2011,Proportion of population using safely managed sanitation services,94.1794
2012,Proportion of population using safely managed sanitation services,94.8203
2013,Proportion of population using safely managed sanitation services,95.4637
2014,Proportion of population using safely managed sanitation services,96.1092
2015,Proportion of population using safely managed sanitation services,96.7568
2016,Proportion of population using safely managed sanitation services,97.4063
2017,Proportion of population using safely managed sanitation services,98.0576
2018,Proportion of population using safely managed sanitation services,98.633
2019,Proportion of population using safely managed sanitation services,99.1922
2020,Proportion of population using safely managed sanitation services,99.4794
2021,Proportion of population using safely managed sanitation services,99.4633
2022,Proportion of population using safely managed sanitation services,99.4475
2000,Proportion of population practicing open defecation,0.0
2001,Proportion of population practicing open defecation,0.0
2002,Proportion of population practicing open defecation,0.0
2003,Proportion of population practicing open defecation,0.0
2004,Proportion of population practicing open defecation,0.0
2005,Proportion of population practicing open defecation,0.0
2006,Proportion of population practicing open defecation,0.0
2007,Proportion of population practicing open defecation,0.0
2008,Proportion of population practicing open defecation,0.0
2009,Proportion of population practicing open defecation,0.0
2010,Proportion of population practicing open defecation,0.0
2011,Proportion of population practicing open defecation,0.0
2012,Proportion of population practicing open defecation,0.0
2013,Proportion of population practicing open defecation,0.0
2014,Proportion of population practicing open defecation,0.0
2015,Proportion of population practicing open defecation,0.0
2016,Proportion of population practicing open defecation,0.0
2017,Proportion of population practicing open defecation,0.0
2018,Proportion of population practicing open defecation,0.0
2019,Proportion of population practicing open defecation,0.0
2020,Proportion of population practicing open defecation,0.0
2021,Proportion of population practicing open defecation,0.0
2022,Proportion of population practicing open defecation,0.0
