Year,Units,Value
2000,산림 내 지상부 바이오매스 총량(헥타르 당 톤),58.68
2010,산림 내 지상부 바이오매스 총량(헥타르 당 톤),98.4
2015,산림 내 지상부 바이오매스 총량(헥타르 당 톤),115.7
2016,산림 내 지상부 바이오매스 총량(헥타르 당 톤),119.04
2017,산림 내 지상부 바이오매스 총량(헥타르 당 톤),122.31
2018,산림 내 지상부 바이오매스 총량(헥타르 당 톤),125.51
2019,산림 내 지상부 바이오매스 총량(헥타르 당 톤),128.63
2020,산림 내 지상부 바이오매스 총량(헥타르 당 톤),131.69
2000,산림경영인증 면적,0.0
2005,산림경영인증 면적,0.0
2010,산림경영인증 면적,193.391
2015,산림경영인증 면적,384.216
2016,산림경영인증 면적,390.568
2017,산림경영인증 면적,392.291
2018,산림경영인증 면적,337.616
2019,산림경영인증 면적,214.571
2020,산림경영인증 면적,673.193
2010,산림면적 연간 순 변화율(%),-0.14
2015,산림면적 연간 순 변화율(%),0.0
2020,산림면적 연간 순 변화율(%),-0.16
2000,장기산림경영계획에 포함된 산림면적 비율(%),59.02
2010,장기산림경영계획에 포함된 산림면적 비율(%),50.1
2015,장기산림경영계획에 포함된 산림면적 비율(%),51.73
2016,장기산림경영계획에 포함된 산림면적 비율(%),50.7
2017,장기산림경영계획에 포함된 산림면적 비율(%),44.72
2018,장기산림경영계획에 포함된 산림면적 비율(%),42.92
2019,장기산림경영계획에 포함된 산림면적 비율(%),41.14
2020,장기산림경영계획에 포함된 산림면적 비율(%),39.34
2000,보호림 비율(%),5.32
2010,보호림 비율(%),6.52
2015,보호림 비율(%),7.02
2016,보호림 비율(%),7.02
2017,보호림 비율(%),6.86
2018,보호림 비율(%),6.86
2019,보호림 비율(%),6.86
2020,보호림 비율(%),6.86
