Year,Sex,Value
2007,,29.8
2007,Male,28.9
2007,Female,30.7
2008,,26.4
2008,Male,24.4
2008,Female,28.4
2009,,28.0
2009,Male,25.5
2009,Female,30.5
2010,,30.5
2010,Male,28.7
2010,Female,32.3
2011,,32.4
2011,Male,30.7
2011,Female,34.0
2012,,35.6
2012,Male,31.8
2012,Female,39.4
2013,,30.2
2013,Male,29.1
2013,Female,31.3
2014,,36.8
2014,Male,37.5
2014,Female,36.1
2015,,40.6
2015,Male,41.3
2015,Female,39.8
2016,,35.7
2016,Male,34.4
2016,Female,37.1
2017,,34.4
2017,Male,32.4
2017,Female,36.4
2018,,41.2
2018,Male,39.5
2018,Female,42.9
2019,,41.7
2019,Male,40.8
2019,Female,42.6
2020,,40.0
2020,Male,39.7
2020,Female,40.3
2021,,30.7
2021,Male,32.0
2021,Female,29.5
2022,,28.5
2022,Male,28.6
2022,Female,28.3
