Year,data.category,Value
2002,data.Basic_drinking_water_services,99
2003,data.Basic_drinking_water_services,99
2004,data.Basic_drinking_water_services,99
2005,data.Basic_drinking_water_services,99
2006,data.Basic_drinking_water_services,99
2007,data.Basic_drinking_water_services,99
2008,data.Basic_drinking_water_services,99
2009,data.Basic_drinking_water_services,99
2010,data.Basic_drinking_water_services,99
2011,data.Basic_drinking_water_services,99
2012,data.Basic_drinking_water_services,99
2013,data.Basic_drinking_water_services,99
2014,data.Basic_drinking_water_services,99
2015,data.Basic_drinking_water_services,99
2016,data.Basic_drinking_water_services,100
2017,data.Basic_drinking_water_services,100
2018,data.Basic_drinking_water_services,100
2019,data.Basic_drinking_water_services,100
2020,data.Basic_drinking_water_services,100
2000,data.Basic_sanitation_services,100
2001,data.Basic_sanitation_services,100
2002,data.Basic_sanitation_services,100
2003,data.Basic_sanitation_services,100
2004,data.Basic_sanitation_services,100
2005,data.Basic_sanitation_services,100
2006,data.Basic_sanitation_services,100
2007,data.Basic_sanitation_services,100
2008,data.Basic_sanitation_services,100
2009,data.Basic_sanitation_services,100
2010,data.Basic_sanitation_services,100
2011,data.Basic_sanitation_services,100
2012,data.Basic_sanitation_services,100
2013,data.Basic_sanitation_services,100
2014,data.Basic_sanitation_services,100
2015,data.Basic_sanitation_services,100
2016,data.Basic_sanitation_services,100
2017,data.Basic_sanitation_services,100
2018,data.Basic_sanitation_services,100
2019,data.Basic_sanitation_services,100
2020,data.Basic_sanitation_services,100
