Year,Value,GeoCode
2016,3.758553079,
2016,0.028239595,E01000001
2016,-0.341627843,E01000002
2016,-1.37530758,E01000003
2016,2.836593988,E01000005
2016,0.0,E01000006
2016,0.093257845,E01000007
2016,0.015902622,E01000008
2016,-0.000359968,E01000009
2016,0.040762163,E01000010
2016,0.0,E01000011
2016,-0.061397099,E01000012
2016,-0.001392461,E01000013
2016,0.0,E01000014
2016,0.0,E01000015
2016,0.003561484,E01000016
2016,0.0,E01000017
2016,0.0,E01000018
2016,-0.005299668,E01000019
2016,-0.011679302,E01000020
2016,0.004151165,E01000021
2016,0.100149607,E01000022
2016,0.385855861,E01000023
2016,-0.005709163,E01000024
2016,0.0,E01000025
2016,0.114197136,E01000027
2016,-0.016674471,E01000028
2016,0.01530025,E01000029
2016,0.004635289,E01000030
2016,0.003469707,E01000031
2016,0.525200806,E01000032
2016,0.685232748,E01000033
2016,0.022792258,E01000034
2016,0.000444019,E01000035
2016,1.998842157,E01000036
2016,-0.000821541,E01000037
2016,-0.001328051,E01000038
2016,0.0,E01000039
2016,-0.054485998,E01000040
2016,0.031403698,E01000041
2016,-0.040350218,E01000042
2016,0.0,E01000043
2016,0.0,E01000044
2016,-0.003933593,E01000045
2016,0.0,E01000046
2016,0.076130397,E01000048
2016,0.06788339,E01000049
2016,0.010207317,E01000050
2016,1.218297878,E01000051
2016,0.0,E01000052
2016,0.0,E01000053
2016,0.163544029,E01000054
2016,0.000369318,E01000055
2016,-0.025959461,E01000056
2016,0.0,E01000057
2016,0.0,E01000058
2016,-0.004737664,E01000059
2016,-0.088551864,E01000060
2016,-0.012011894,E01000061
2016,0.047245182,E01000062
2016,0.0,E01000063
2016,0.002597071,E01000064
2016,0.056184597,E01000065
2016,0.00399621,E01000066
2016,0.000239925,E01000067
2016,0.0,E01000068
2016,0.04328987,E01000069
2016,0.0,E01000070
2016,0.028550057,E01000071
2016,0.002224474,E01000072
2016,0.0,E01000073
2016,0.018284988,E01000074
2016,0.007191928,E01000075
2016,0.018810802,E01000076
2016,0.0,E01000077
2016,-0.009455607,E01000078
2016,0.273390689,E01000079
2016,0.129655743,E01000080
2016,0.000560554,E01000081
2016,0.0,E01000082
2016,0.0,E01000083
2016,0.0,E01000084
2016,0.0,E01000085
2016,0.0,E01000086
2016,0.0,E01000087
2016,0.0,E01000088
2016,0.0,E01000089
2016,-0.001788279,E01000090
2016,0.071210516,E01000091
2016,0.025157759,E01000092
2016,0.006237552,E01000093
2016,0.193125856,E01000094
2016,0.126123471,E01000095
2016,0.01818745,E01000096
2016,0.0,E01000097
2016,0.000653203,E01000098
2016,0.049350066,E01000099
2016,0.0,E01000100
2016,0.071073095,E01000101
2016,0.0,E01000102
2016,1.359199681,E01000103
2016,-0.237510939,E01000104
2016,0.0,E01000105
2016,0.0,E01000106
2016,0.001695203,E01000107
2016,0.035377163,E01000108
2016,0.318689661,E01000109
2016,-0.018220123,E01000110
2016,0.014617893,E01000111
2016,-0.001650379,E01000112
2016,0.000877861,E01000113
2016,-0.000327452,E01000114
2016,1.085548935,E01000115
2016,0.16759134,E01000116
2016,0.21310728,E01000117
2016,0.338879651,E01000118
2016,-1.369807759,E01000119
2016,0.228158522,E01000120
2016,-6.524308543,E01000121
2016,-0.473544829,E01000122
2016,0.201017448,E01000123
2016,-0.506802239,E01000124
2016,0.007164511,E01000125
2016,0.006664232,E01000126
2016,0.339996413,E01000127
2016,0.25551992,E01000128
2016,0.284680152,E01000129
2016,0.608710085,E01000130
2016,-0.160206904,E01000131
2016,-3.16565664,E01000132
2016,-2.801456935,E01000133
2016,0.214929065,E01000134
2016,0.184874517,E01000135
2016,0.137277575,E01000136
2016,0.509560461,E01000137
2016,-1.355963558,E01000138
2016,0.533438591,E01000139
2016,0.204071811,E01000140
2016,-0.105344326,E01000141
2016,0.054532641,E01000142
2016,0.400822838,E01000143
2016,0.109199178,E01000144
2016,0.617337032,E01000145
2016,-0.163875929,E01000146
2016,2.151734556,E01000147
2016,0.204402922,E01000148
2016,0.311864269,E01000150
2016,-0.281166162,E01000151
2016,0.210072951,E01000152
2016,-0.031999279,E01000153
2016,-0.142757168,E01000154
2016,0.071396885,E01000155
2016,0.423575821,E01000156
2016,-0.066590995,E01000157
2016,0.413205197,E01000158
2016,-3.148335451,E01000159
2016,0.045404632,E01000160
2016,0.090258601,E01000161
2016,0.19375583,E01000162
2016,0.533387763,E01000163
2016,-0.25771606,E01000164
2016,-0.295477501,E01000165
2016,-0.295793378,E01000166
2016,-0.053357126,E01000167
2016,-0.475150346,E01000168
2016,7.465953461,E01000169
2016,0.507227292,E01000170
2016,0.095053721,E01000171
2016,-1.512328947,E01000172
2016,0.182428813,E01000173
2016,0.092984517,E01000174
2016,0.221166733,E01000175
2016,0.097811039,E01000176
2016,0.18082801,E01000177
2016,0.105148364,E01000178
2016,0.093577376,E01000179
2016,0.12596194,E01000180
2016,-0.923446434,E01000181
2016,0.254467421,E01000182
2016,0.113642247,E01000183
2016,0.157581698,E01000184
2016,0.391390242,E01000185
2016,0.415702337,E01000186
2016,1.91898368,E01000187
2016,-6.223598953,E01000188
2016,0.471221528,E01000189
2016,0.585306603,E01000190
2016,5.50684679,E01000191
2016,0.295724693,E01000192
2016,0.119755786,E01000193
2016,0.246897532,E01000194
2016,0.021541663,E01000195
2016,0.108974088,E01000196
2016,0.160540559,E01000197
2016,-7.31e-05,E01000198
2016,0.557045165,E01000199
2016,0.093856292,E01000200
2016,0.147720138,E01000201
2016,0.283009042,E01000202
2016,0.123101537,E01000203
2016,0.312046107,E01000204
2016,2.437870081,E01000205
2016,-0.122510308,E01000206
2016,-0.10759984,E01000207
2016,-0.278817773,E01000208
2016,0.310373223,E01000209
2016,0.029388366,E01000210
2016,-0.022604209,E01000211
2016,-0.001782253,E01000212
2016,-0.253583832,E01000213
2016,5.242644411,E01000214
2016,0.278532474,E01000215
2016,0.395575658,E01000216
2016,0.511863056,E01000217
2016,0.120507249,E01000218
2016,0.180274111,E01000219
2016,0.14565005,E01000220
2016,-0.025185497,E01000221
2016,2.171790828,E01000222
2016,0.374713866,E01000223
2016,0.172488255,E01000224
2016,0.261237639,E01000225
2016,0.420564259,E01000226
2016,0.330346162,E01000227
2016,-0.783934668,E01000228
2016,0.820801447,E01000229
2016,0.173042643,E01000230
2016,0.060788817,E01000231
2016,0.359828416,E01000232
2016,0.255254568,E01000233
2016,0.388194529,E01000234
2016,0.285091515,E01000235
2016,0.197011947,E01000236
2016,0.220300473,E01000237
2016,0.141581708,E01000238
2016,0.057488317,E01000239
2016,0.078508159,E01000240
2016,0.342525646,E01000241
2016,-1.931057398,E01000242
2016,0.053967546,E01000243
2016,0.12201701,E01000244
2016,0.125468818,E01000245
2016,-0.169334655,E01000246
2016,-0.202492795,E01000247
2016,0.220629853,E01000248
2016,5.465732232,E01000249
2016,0.085849538,E01000250
2016,0.127008921,E01000251
2016,0.185209736,E01000252
2016,0.62355312,E01000253
2016,0.319971365,E01000254
2016,-1.972799533,E01000255
2016,-1.91969952,E01000256
2016,-6.310846935,E01000257
2016,1.328781672,E01000258
2016,0.109280866,E01000259
2016,-2.571098524,E01000260
2016,-0.935454488,E01000261
2016,0.065605502,E01000262
2016,-0.329205202,E01000263
2016,0.148497021,E01000264
2016,0.072925282,E01000265
2016,-0.23187019,E01000266
2016,1.133233393,E01000267
2016,0.720056206,E01000268
2016,8.196981837,E01000269
2016,2.439382975,E01000270
2016,0.918817999,E01000271
2016,1.986065754,E01000272
2016,0.410447889,E01000273
2016,0.337585949,E01000274
2016,-2.105402047,E01000275
2016,-0.723409323,E01000276
2016,0.065197386,E01000277
2016,0.969913649,E01000278
2016,-0.193809723,E01000279
2016,-1.209143102,E01000280
2016,-0.032779,E01000281
2016,-0.074884858,E01000282
2016,2.265342094,E01000283
2016,0.235793207,E01000284
2016,-0.782354555,E01000285
2016,0.379382721,E01000286
2016,-1.425492027,E01000287
2016,1.019313568,E01000288
2016,-0.567874986,E01000289
2016,-1.050974403,E01000290
2016,3.013664667,E01000291
2016,3.583042953,E01000292
2016,0.87736854,E01000293
2016,0.268684086,E01000294
2016,0.266678856,E01000295
2016,0.041734817,E01000296
2016,0.198366764,E01000297
2016,24.09363463,E01000298
2016,0.017740271,E01000299
2016,0.188673145,E01000300
2016,-10.83929726,E01000301
2016,0.162798037,E01000302
2016,0.117110039,E01000303
2016,0.655428463,E01000304
2016,0.246656221,E01000305
2016,0.149390171,E01000306
2016,0.133255081,E01000307
2016,1.253645841,E01000308
2016,0.332476733,E01000309
2016,0.17734547,E01000310
2016,0.291728984,E01000311
2016,0.128074055,E01000312
2016,0.031799213,E01000313
2016,0.094815561,E01000314
2016,0.186478739,E01000315
2016,-0.029235409,E01000316
2016,0.126405456,E01000317
2016,-0.559490957,E01000318
2016,-0.299091473,E01000319
2016,-0.079161356,E01000320
2016,-0.182852765,E01000321
2016,0.129628291,E01000322
2016,0.056651553,E01000323
2016,0.170790251,E01000324
2016,-3.802778126,E01000325
2016,-0.893066628,E01000326
2016,-0.140427955,E01000327
2016,0.558586948,E01000328
2016,-0.081307734,E01000329
2016,0.899511738,E01000330
2016,-0.200058035,E01000331
2016,0.398244321,E01000332
2016,0.29925404,E01000333
2016,0.715621347,E01000334
2016,-0.115909693,E01000335
2016,0.08250471,E01000336
2016,2.037203164,E01000337
2016,0.297462042,E01000338
2016,-0.142428196,E01000339
2016,0.251210958,E01000340
2016,0.302294627,E01000341
2016,0.938853307,E01000342
2016,1.811937721,E01000343
2016,0.631802367,E01000344
2016,-0.603673463,E01000345
2016,0.484686106,E01000346
2016,0.257301395,E01000347
2016,1.483585249,E01000348
2016,1.299803218,E01000349
2016,-0.460789835,E01000350
2016,-0.533716006,E01000351
2016,0.658161404,E01000352
2016,0.454951095,E01000353
2016,0.75414328,E01000354
2016,1.051124773,E01000355
2016,0.538874291,E01000356
2016,1.319815462,E01000357
2016,0.407429493,E01000358
2016,4.203146359,E01000359
2016,0.77804148,E01000360
2016,26.48832105,E01000361
2016,-0.035012369,E01000362
2016,0.164145515,E01000363
2016,0.147712144,E01000364
2016,-2.882455379,E01000365
2016,0.78021636,E01000366
2016,1.84929346,E01000367
2016,-0.411250906,E01000368
2016,0.549116629,E01000369
2016,-0.19753073,E01000370
2016,-1.828389881,E01000371
2016,-10.21317847,E01000372
2016,0.315211149,E01000373
2016,-0.384044083,E01000374
2016,2.181942197,E01000375
2016,-0.334154832,E01000376
2016,0.102388128,E01000377
2016,0.029639477,E01000378
2016,1.243487103,E01000379
2016,-0.040205902,E01000380
2016,-18.91625813,E01000381
2016,0.361535937,E01000382
