Year,Value,Units
2005,0.10999,Dead or Missing Person
2006,0.14383,Dead or Missing Person
2007,0.04865,Dead or Missing Person
2008,0.13748,Dead or Missing Person
2009,0.50128,Dead or Missing Person
2010,0.20379,Dead or Missing Person
2011,0.16673,Dead or Missing Person
2012,0.04323,Dead or Missing Person
2013,0.03294,Dead or Missing Person
2014,0.85014,Dead or Missing Person
2015,0.13119,Dead or Missing Person
2016,0.05071,Dead or Missing Person
2017,0.14002,Dead or Missing Person
2018,0.28278,Dead or Missing Person
2019,0.21437,Dead or Missing Person
2005,31.14532,Directly affected Person
2006,55.66729,Directly affected Person
2007,36.94187,Directly affected Person
2008,11.2946,Directly affected Person
2009,1528.4374,Directly affected Person
2010,308.97818,Directly affected Person
2011,170.62742,Directly affected Person
2012,52.03314,Directly affected Person
2013,10.40311,Directly affected Person
2014,21.83325,Directly affected Person
2015,1.05543,Directly affected Person
2016,17.80979,Directly affected Person
2017,42.9559,Directly affected Person
2018,25.5629,Directly affected Person
2019,17.75809,Directly affected Person
