Year,Value,Units
2000,87.2093,Proportion of population using safely managed sanitation services
2001,87.8377,Proportion of population using safely managed sanitation services
2002,88.4681,Proportion of population using safely managed sanitation services
2003,89.1007,Proportion of population using safely managed sanitation services
2004,89.7353,Proportion of population using safely managed sanitation services
2005,90.3683,Proportion of population using safely managed sanitation services
2006,91.0028,Proportion of population using safely managed sanitation services
2007,91.641,Proportion of population using safely managed sanitation services
2008,92.2731,Proportion of population using safely managed sanitation services
2009,92.9056,Proportion of population using safely managed sanitation services
2010,93.5411,Proportion of population using safely managed sanitation services
2011,94.1794,Proportion of population using safely managed sanitation services
2012,94.8203,Proportion of population using safely managed sanitation services
2013,95.4637,Proportion of population using safely managed sanitation services
2014,96.1092,Proportion of population using safely managed sanitation services
2015,96.7568,Proportion of population using safely managed sanitation services
2016,97.4063,Proportion of population using safely managed sanitation services
2017,98.0576,Proportion of population using safely managed sanitation services
2018,98.633,Proportion of population using safely managed sanitation services
2019,99.1922,Proportion of population using safely managed sanitation services
2020,99.4794,Proportion of population using safely managed sanitation services
2021,99.4633,Proportion of population using safely managed sanitation services
2022,99.4475,Proportion of population using safely managed sanitation services
2000,0.0,Proportion of population practicing open defecation
2001,0.0,Proportion of population practicing open defecation
2002,0.0,Proportion of population practicing open defecation
2003,0.0,Proportion of population practicing open defecation
2004,0.0,Proportion of population practicing open defecation
2005,0.0,Proportion of population practicing open defecation
2006,0.0,Proportion of population practicing open defecation
2007,0.0,Proportion of population practicing open defecation
2008,0.0,Proportion of population practicing open defecation
2009,0.0,Proportion of population practicing open defecation
2010,0.0,Proportion of population practicing open defecation
2011,0.0,Proportion of population practicing open defecation
2012,0.0,Proportion of population practicing open defecation
2013,0.0,Proportion of population practicing open defecation
2014,0.0,Proportion of population practicing open defecation
2015,0.0,Proportion of population practicing open defecation
2016,0.0,Proportion of population practicing open defecation
2017,0.0,Proportion of population practicing open defecation
2018,0.0,Proportion of population practicing open defecation
2019,0.0,Proportion of population practicing open defecation
2020,0.0,Proportion of population practicing open defecation
2021,0.0,Proportion of population practicing open defecation
2022,0.0,Proportion of population practicing open defecation
