Year,data.Education_level,data.Location,성별,Value
2012,중학교,,,100.0
2012,중학교,data.ALLAREA,data.FEMALE,100.0
2012,중학교,data.ALLAREA,data.MALE,100.0
2012,중학교,data.RURAL,,100.0
2012,중학교,data.RURAL,data.FEMALE,100.0
2012,중학교,data.RURAL,data.MALE,100.0
2012,중학교,data.URBAN,,100.0
2012,중학교,data.URBAN,data.FEMALE,100.0
2012,중학교,data.URBAN,data.MALE,100.0
2012,초등학교,,,100.0
2012,초등학교,data.ALLAREA,data.FEMALE,100.0
2012,초등학교,data.ALLAREA,data.MALE,100.0
2012,초등학교,data.RURAL,,100.0
2012,초등학교,data.RURAL,data.FEMALE,100.0
2012,초등학교,data.RURAL,data.MALE,100.0
2012,초등학교,data.URBAN,,100.0
2012,초등학교,data.URBAN,data.FEMALE,100.0
2012,초등학교,data.URBAN,data.MALE,100.0
2012,고등학교,,,98.57
2012,고등학교,data.ALLAREA,data.FEMALE,98.89
2012,고등학교,data.ALLAREA,data.MALE,98.07
2012,고등학교,data.RURAL,,95.19
2012,고등학교,data.RURAL,data.FEMALE,93.6
2012,고등학교,data.RURAL,data.MALE,97.84
2012,고등학교,data.URBAN,,98.95
2012,고등학교,data.URBAN,data.FEMALE,99.44
2012,고등학교,data.URBAN,data.MALE,98.19
