Year,Units,Value
2000,1인당 국내물질소비량(톤),15.5664
2001,1인당 국내물질소비량(톤),15.9449
2002,1인당 국내물질소비량(톤),16.2743
2003,1인당 국내물질소비량(톤),17.1738
2004,1인당 국내물질소비량(톤),16.7411
2005,1인당 국내물질소비량(톤),14.9622
2006,1인당 국내물질소비량(톤),15.3178
2007,1인당 국내물질소비량(톤),15.8315
2008,1인당 국내물질소비량(톤),16.049
2009,1인당 국내물질소비량(톤),15.5748
2010,1인당 국내물질소비량(톤),15.7299
2011,1인당 국내물질소비량(톤),15.4838
2012,1인당 국내물질소비량(톤),16.1614
2013,1인당 국내물질소비량(톤),16.4532
2014,1인당 국내물질소비량(톤),16.4997
2015,1인당 국내물질소비량(톤),17.2519
2016,1인당 국내물질소비량(톤),18.2648
2017,1인당 국내물질소비량(톤),18.5858
2018,1인당 국내물질소비량(톤),18.223
2019,1인당 국내물질소비량(톤),17.9679
2000,GDP당 국내물질소비량(kg/USD),0.9233
2001,GDP당 국내물질소비량(kg/USD),0.9082
2002,GDP당 국내물질소비량(kg/USD),0.8658
2003,GDP당 국내물질소비량(kg/USD),0.8906
2004,GDP당 국내물질소비량(kg/USD),0.8292
2005,GDP당 국내물질소비량(kg/USD),0.7136
2006,GDP당 국내물질소비량(kg/USD),0.6965
2007,GDP당 국내물질소비량(kg/USD),0.6826
2008,GDP당 국내물질소비량(kg/USD),0.6737
2009,GDP당 국내물질소비량(kg/USD),0.6509
2010,GDP당 국내물질소비량(kg/USD),0.6179
2011,GDP당 국내물질소비량(kg/USD),0.5895
2012,GDP당 국내물질소비량(kg/USD),0.6042
2013,GDP당 국내물질소비량(kg/USD),0.5996
2014,GDP당 국내물질소비량(kg/USD),0.5857
2015,GDP당 국내물질소비량(kg/USD),0.5982
2016,GDP당 국내물질소비량(kg/USD),0.6171
2017,GDP당 국내물질소비량(kg/USD),0.6101
2018,GDP당 국내물질소비량(kg/USD),0.5821
2019,GDP당 국내물질소비량(kg/USD),0.5631
2000,국내물질소비량(톤),737525100.131
2001,국내물질소비량(톤),760671137.849
2002,국내물질소비량(톤),781160332.7041
2003,국내물질소비량(톤),828820891.9005
2004,국내물질소비량(톤),811832152.1142
2005,국내물질소비량(톤),728674789.9971
2006,국내물질소비량(톤),748738938.1206
2007,국내물질소비량(톤),776296395.4224
2008,국내물질소비량(톤),789328578.817
2009,국내물질소비량(톤),768574775.0705
2010,국내물질소비량(톤),779346277.0813
2011,국내물질소비량(톤),770877863.1924
2012,국내물질소비량(톤),809051555.559
2013,국내물질소비량(톤),828350448.5849
2014,국내물질소비량(톤),835014649.9979
2015,국내물질소비량(톤),876795357.688
2016,국내물질소비량(톤),931200941.985
2017,국내물질소비량(톤),949666842.9875
2018,국내물질소비량(톤),932499258.9395
2019,국내물질소비량(톤),920410002.584
