Year,성별,Value
2000,,0.9
2000,남성,1.0
2000,여성,0.7
2001,,0.8
2001,남성,1.0
2001,여성,0.6
2002,,0.6
2002,남성,0.8
2002,여성,0.4
2003,,0.5
2003,남성,0.7
2003,여성,0.5
2004,,0.5
2004,남성,0.7
2004,여성,0.3
2005,,0.6
2005,남성,0.7
2005,여성,0.4
2006,,0.6
2006,남성,0.8
2006,여성,0.4
2007,,0.5
2007,남성,0.7
2007,여성,0.2
2008,,0.5
2008,남성,0.7
2008,여성,0.2
2009,,0.4
2009,남성,0.6
2009,여성,0.2
2010,,0.4
2010,남성,0.7
2010,여성,0.2
2011,,0.4
2011,남성,0.6
2011,여성,0.2
2012,,0.6
2012,남성,0.8
2012,여성,0.3
2013,,0.5
2013,남성,0.7
2013,여성,0.3
2014,,0.4
2014,남성,0.5
2014,여성,0.3
2015,,0.4
2015,남성,0.6
2015,여성,0.3
2016,,0.6
2016,남성,0.8
2016,여성,0.4
2017,,0.6
2017,남성,0.8
2017,여성,0.3
2018,,0.6
2018,남성,0.8
2018,여성,0.3
2019,,0.4
2019,남성,0.6
2019,여성,0.3
2020,,0.5
2020,남성,0.7
2020,여성,0.3
