Year,Value,Units
2008,0.57191,G4_총채권 대비 부실채권 비율
2009,0.5845,G4_총채권 대비 부실채권 비율
2010,0.588,G4_총채권 대비 부실채권 비율
2011,0.48416,G4_총채권 대비 부실채권 비율
2012,0.59429,G4_총채권 대비 부실채권 비율
2013,0.57068,G4_총채권 대비 부실채권 비율
2014,0.48783,G4_총채권 대비 부실채권 비율
2015,0.45686,G4_총채권 대비 부실채권 비율
2016,0.46921,G4_총채권 대비 부실채권 비율
2017,0.35236,G4_총채권 대비 부실채권 비율
2018,0.25443,G4_총채권 대비 부실채권 비율
2019,0.25114,G4_총채권 대비 부실채권 비율
2020,0.2491,G4_총채권 대비 부실채권 비율
2008,0.6738,G5_총자산순이익률
2009,0.5452,G5_총자산순이익률
2010,0.7376,G5_총자산순이익률
2011,1.0388,G5_총자산순이익률
2012,0.6551,G5_총자산순이익률
2013,0.3232,G5_총자산순이익률
2014,0.4831,G5_총자산순이익률
2015,0.5303,G5_총자산순이익률
2016,0.3609,G5_총자산순이익률
2017,0.6696,G5_총자산순이익률
2018,0.7728,G5_총자산순이익률
2019,0.7179,G5_총자산순이익률
2020,0.70671,G5_총자산순이익률
2008,6.3523,G1_총자산 대비 기본자본(Tier 1) 비율
2009,7.2379,G1_총자산 대비 기본자본(Tier 1) 비율
2010,7.41,G1_총자산 대비 기본자본(Tier 1) 비율
2011,7.042,G1_총자산 대비 기본자본(Tier 1) 비율
2012,7.1448,G1_총자산 대비 기본자본(Tier 1) 비율
2013,7.392,G1_총자산 대비 기본자본(Tier 1) 비율
2014,7.3943,G1_총자산 대비 기본자본(Tier 1) 비율
2015,7.2538,G1_총자산 대비 기본자본(Tier 1) 비율
2016,7.7863,G1_총자산 대비 기본자본(Tier 1) 비율
2017,7.9296,G1_총자산 대비 기본자본(Tier 1) 비율
2018,7.8817,G1_총자산 대비 기본자본(Tier 1) 비율
2019,7.7341,G1_총자산 대비 기본자본(Tier 1) 비율
2020,7.5105,G1_총자산 대비 기본자본(Tier 1) 비율
2008,2.4248,G3_총자본 대비 부실채권충당금 비율
2009,2.4609,G3_총자본 대비 부실채권충당금 비율
2010,2.8975,G3_총자본 대비 부실채권충당금 비율
2011,2.5065,G3_총자본 대비 부실채권충당금 비율
2012,2.8439,G3_총자본 대비 부실채권충당금 비율
2013,3.2335,G3_총자본 대비 부실채권충당금 비율
2014,2.5253,G3_총자본 대비 부실채권충당금 비율
2015,1.9654,G3_총자본 대비 부실채권충당금 비율
2016,1.898,G3_총자본 대비 부실채권충당금 비율
2017,1.5099,G3_총자본 대비 부실채권충당금 비율
2018,1.1706,G3_총자본 대비 부실채권충당금 비율
2019,1.1097,G3_총자본 대비 부실채권충당금 비율
2020,1.1305,G3_총자본 대비 부실채권충당금 비율
2008,9.6051,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2009,11.5122,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2010,12.096,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2011,11.6016,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2012,11.5967,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2013,11.853,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2014,11.7234,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2015,11.6941,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2016,13.1146,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2017,13.8411,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2018,13.9889,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2019,13.9779,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2020,15.107,G2_위험가중자산 대비 기본자본(Tier 1) 비율
2008,101.37096,G6_단기부채 대비 유동자산 비율
2009,103.93085,G6_단기부채 대비 유동자산 비율
2010,117.46817,G6_단기부채 대비 유동자산 비율
2011,109.33702,G6_단기부채 대비 유동자산 비율
2012,111.34206,G6_단기부채 대비 유동자산 비율
2013,107.87426,G6_단기부채 대비 유동자산 비율
2014,121.98002,G6_단기부채 대비 유동자산 비율
2015,104.95577,G6_단기부채 대비 유동자산 비율
2016,102.59449,G6_단기부채 대비 유동자산 비율
2017,101.2468,G6_단기부채 대비 유동자산 비율
2018,114.4857,G6_단기부채 대비 유동자산 비율
2019,109.96364,G6_단기부채 대비 유동자산 비율
2020,102.1849,G6_단기부채 대비 유동자산 비율
2008,1.8752,G7_총자본 대비 외환종합포지션 비율
2009,2.911,G7_총자본 대비 외환종합포지션 비율
2010,0.93766,G7_총자본 대비 외환종합포지션 비율
2011,0.93475,G7_총자본 대비 외환종합포지션 비율
2012,0.15454,G7_총자본 대비 외환종합포지션 비율
2013,-0.1504,G7_총자본 대비 외환종합포지션 비율
2014,0.4656,G7_총자본 대비 외환종합포지션 비율
2015,-0.04185,G7_총자본 대비 외환종합포지션 비율
2016,0.01914,G7_총자본 대비 외환종합포지션 비율
2017,-0.9807,G7_총자본 대비 외환종합포지션 비율
2018,0.04103,G7_총자본 대비 외환종합포지션 비율
2019,0.10735,G7_총자본 대비 외환종합포지션 비율
2020,-0.0206,G7_총자본 대비 외환종합포지션 비율
