Year,Value,Units
2000,15.5664,1인당 국내물질소비량(톤)
2001,15.9449,1인당 국내물질소비량(톤)
2002,16.2743,1인당 국내물질소비량(톤)
2003,17.1738,1인당 국내물질소비량(톤)
2004,16.7411,1인당 국내물질소비량(톤)
2005,14.9622,1인당 국내물질소비량(톤)
2006,15.3178,1인당 국내물질소비량(톤)
2007,15.8315,1인당 국내물질소비량(톤)
2008,16.049,1인당 국내물질소비량(톤)
2009,15.5748,1인당 국내물질소비량(톤)
2010,15.7299,1인당 국내물질소비량(톤)
2011,15.4838,1인당 국내물질소비량(톤)
2012,16.1614,1인당 국내물질소비량(톤)
2013,16.4532,1인당 국내물질소비량(톤)
2014,16.4997,1인당 국내물질소비량(톤)
2015,17.2519,1인당 국내물질소비량(톤)
2016,18.2648,1인당 국내물질소비량(톤)
2017,18.5858,1인당 국내물질소비량(톤)
2018,18.223,1인당 국내물질소비량(톤)
2019,17.9679,1인당 국내물질소비량(톤)
2000,0.9233,GDP당 국내물질소비량(kg/USD)
2001,0.9082,GDP당 국내물질소비량(kg/USD)
2002,0.8658,GDP당 국내물질소비량(kg/USD)
2003,0.8906,GDP당 국내물질소비량(kg/USD)
2004,0.8292,GDP당 국내물질소비량(kg/USD)
2005,0.7136,GDP당 국내물질소비량(kg/USD)
2006,0.6965,GDP당 국내물질소비량(kg/USD)
2007,0.6826,GDP당 국내물질소비량(kg/USD)
2008,0.6737,GDP당 국내물질소비량(kg/USD)
2009,0.6509,GDP당 국내물질소비량(kg/USD)
2010,0.6179,GDP당 국내물질소비량(kg/USD)
2011,0.5895,GDP당 국내물질소비량(kg/USD)
2012,0.6042,GDP당 국내물질소비량(kg/USD)
2013,0.5996,GDP당 국내물질소비량(kg/USD)
2014,0.5857,GDP당 국내물질소비량(kg/USD)
2015,0.5982,GDP당 국내물질소비량(kg/USD)
2016,0.6171,GDP당 국내물질소비량(kg/USD)
2017,0.6101,GDP당 국내물질소비량(kg/USD)
2018,0.5821,GDP당 국내물질소비량(kg/USD)
2019,0.5631,GDP당 국내물질소비량(kg/USD)
2000,737525100.131,국내물질소비량(톤)
2001,760671137.849,국내물질소비량(톤)
2002,781160332.7041,국내물질소비량(톤)
2003,828820891.9005,국내물질소비량(톤)
2004,811832152.1142,국내물질소비량(톤)
2005,728674789.9971,국내물질소비량(톤)
2006,748738938.1206,국내물질소비량(톤)
2007,776296395.4224,국내물질소비량(톤)
2008,789328578.817,국내물질소비량(톤)
2009,768574775.0705,국내물질소비량(톤)
2010,779346277.0813,국내물질소비량(톤)
2011,770877863.1924,국내물질소비량(톤)
2012,809051555.559,국내물질소비량(톤)
2013,828350448.5849,국내물질소비량(톤)
2014,835014649.9979,국내물질소비량(톤)
2015,876795357.688,국내물질소비량(톤)
2016,931200941.985,국내물질소비량(톤)
2017,949666842.9875,국내물질소비량(톤)
2018,932499258.9395,국내물질소비량(톤)
2019,920410002.584,국내물질소비량(톤)
