Year,Value,Units
2005,0.10999,사망 또는 실종자
2006,0.14383,사망 또는 실종자
2007,0.04865,사망 또는 실종자
2008,0.13748,사망 또는 실종자
2009,0.50128,사망 또는 실종자
2010,0.20379,사망 또는 실종자
2011,0.16673,사망 또는 실종자
2012,0.04323,사망 또는 실종자
2013,0.03294,사망 또는 실종자
2014,0.85014,사망 또는 실종자
2015,0.13119,사망 또는 실종자
2016,0.05071,사망 또는 실종자
2017,0.14002,사망 또는 실종자
2018,0.28278,사망 또는 실종자
2019,0.21437,사망 또는 실종자
2020,0.20896,사망 또는 실종자
2005,31.14532,직접영향인구
2006,55.66729,직접영향인구
2007,36.94187,직접영향인구
2008,11.2946,직접영향인구
2009,1528.4374,직접영향인구
2010,308.97818,직접영향인구
2011,170.62742,직접영향인구
2012,52.03314,직접영향인구
2013,10.40311,직접영향인구
2014,21.83325,직접영향인구
2015,1.05543,직접영향인구
2016,17.80979,직접영향인구
2017,42.9559,직접영향인구
2018,25.5629,직접영향인구
2019,17.75809,직접영향인구
2020,254.1756,직접영향인구
