Year,Value,Units
2000,87.2093,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2001,87.8377,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2002,88.4681,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2003,89.1007,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2004,89.7353,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2005,90.3683,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2006,91.0028,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2007,91.641,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2008,92.2731,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2009,92.9056,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2010,93.5411,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2011,94.1794,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2012,94.8203,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2013,95.4637,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2014,96.1092,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2015,96.7568,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2016,97.4063,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2017,98.0576,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2018,98.633,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2019,99.1922,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2020,99.4794,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2021,99.4633,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2022,99.4475,안전하게 관리되는 위생서비스시설을 이용하는 인구 비율
2000,0.0,노상배변 인구 비율
2001,0.0,노상배변 인구 비율
2002,0.0,노상배변 인구 비율
2003,0.0,노상배변 인구 비율
2004,0.0,노상배변 인구 비율
2005,0.0,노상배변 인구 비율
2006,0.0,노상배변 인구 비율
2007,0.0,노상배변 인구 비율
2008,0.0,노상배변 인구 비율
2009,0.0,노상배변 인구 비율
2010,0.0,노상배변 인구 비율
2011,0.0,노상배변 인구 비율
2012,0.0,노상배변 인구 비율
2013,0.0,노상배변 인구 비율
2014,0.0,노상배변 인구 비율
2015,0.0,노상배변 인구 비율
2016,0.0,노상배변 인구 비율
2017,0.0,노상배변 인구 비율
2018,0.0,노상배변 인구 비율
2019,0.0,노상배변 인구 비율
2020,0.0,노상배변 인구 비율
2021,0.0,노상배변 인구 비율
2022,0.0,노상배변 인구 비율
