Year,Value,Units
2000,15.56642,1인당 국내물질소비량(톤)
2001,15.9449,1인당 국내물질소비량(톤)
2002,16.27433,1인당 국내물질소비량(톤)
2003,17.17376,1인당 국내물질소비량(톤)
2004,16.74107,1인당 국내물질소비량(톤)
2005,14.96219,1인당 국내물질소비량(톤)
2006,15.31776,1인당 국내물질소비량(톤)
2007,15.83154,1인당 국내물질소비량(톤)
2008,16.04899,1인당 국내물질소비량(톤)
2009,15.57476,1인당 국내물질소비량(톤)
2010,15.72987,1인당 국내물질소비량(톤)
2011,15.48378,1인당 국내물질소비량(톤)
2012,16.16143,1인당 국내물질소비량(톤)
2013,16.45324,1인당 국내물질소비량(톤)
2014,16.49969,1인당 국내물질소비량(톤)
2015,17.25191,1인당 국내물질소비량(톤)
2016,18.26477,1인당 국내물질소비량(톤)
2017,18.58578,1인당 국내물질소비량(톤)
2018,18.22295,1인당 국내물질소비량(톤)
2019,17.96787,1인당 국내물질소비량(톤)
2000,0.92331,data.Kilograms_per_constant_2015_USD
2001,0.90822,data.Kilograms_per_constant_2015_USD
2002,0.8658,data.Kilograms_per_constant_2015_USD
2003,0.89059,data.Kilograms_per_constant_2015_USD
2004,0.82924,data.Kilograms_per_constant_2015_USD
2005,0.71355,data.Kilograms_per_constant_2015_USD
2006,0.69653,data.Kilograms_per_constant_2015_USD
2007,0.68258,data.Kilograms_per_constant_2015_USD
2008,0.67374,data.Kilograms_per_constant_2015_USD
2009,0.65087,data.Kilograms_per_constant_2015_USD
2010,0.61794,data.Kilograms_per_constant_2015_USD
2011,0.5895,data.Kilograms_per_constant_2015_USD
2012,0.60417,data.Kilograms_per_constant_2015_USD
2013,0.59961,data.Kilograms_per_constant_2015_USD
2014,0.58568,data.Kilograms_per_constant_2015_USD
2015,0.59818,data.Kilograms_per_constant_2015_USD
2016,0.61711,data.Kilograms_per_constant_2015_USD
2017,0.61007,data.Kilograms_per_constant_2015_USD
2018,0.58212,data.Kilograms_per_constant_2015_USD
2019,0.56309,data.Kilograms_per_constant_2015_USD
2000,737525100.13101,국내물질소비량(톤)
2001,760671137.84901,국내물질소비량(톤)
2002,781160332.70412,국내물질소비량(톤)
2003,828820891.90051,국내물질소비량(톤)
2004,811832152.11423,국내물질소비량(톤)
2005,728674783.99712,국내물질소비량(톤)
2006,748738938.1206,국내물질소비량(톤)
2007,776296395.42243,국내물질소비량(톤)
2008,789328578.81697,국내물질소비량(톤)
2009,768574775.07052,국내물질소비량(톤)
2010,779346277.0813,국내물질소비량(톤)
2011,770877863.19243,국내물질소비량(톤)
2012,809051555.559,국내물질소비량(톤)
2013,828350448.5849,국내물질소비량(톤)
2014,835014649.99787,국내물질소비량(톤)
2015,876795357.68797,국내물질소비량(톤)
2016,931200941.98501,국내물질소비량(톤)
2017,949666842.9578,국내물질소비량(톤)
2018,932499258.93954,국내물질소비량(톤)
2019,920410002.58402,국내물질소비량(톤)
