Year,Units,Value
2000,National parliaments,3.68
2001,National parliaments,5.86
2002,National parliaments,5.86
2003,National parliaments,5.86
2004,National parliaments,5.54
2005,National parliaments,13.04
2006,National parliaments,13.38
2007,National parliaments,13.38
2008,National parliaments,14.38
2009,National parliaments,13.71
2010,National parliaments,14.72
2011,National parliaments,14.72
2012,National parliaments,14.72
2013,National parliaments,15.67
2014,National parliaments,15.67
2015,National parliaments,16.33
2016,National parliaments,16.33
2017,National parliaments,17.0
2018,National parliaments,17.0
2019,National parliaments,17.11
2020,National parliaments,17.29
2018,Local assembly,28.3
