Year,Units,Value
2000,Above-ground biomass stock in forest (tonnes per hectare),58.68
2010,Above-ground biomass stock in forest (tonnes per hectare),98.4
2015,Above-ground biomass stock in forest (tonnes per hectare),115.7
2016,Above-ground biomass stock in forest (tonnes per hectare),119.04
2017,Above-ground biomass stock in forest (tonnes per hectare),122.31
2018,Above-ground biomass stock in forest (tonnes per hectare),125.51
2019,Above-ground biomass stock in forest (tonnes per hectare),128.63
2020,Above-ground biomass stock in forest (tonnes per hectare),131.69
2000,Forest area under an independently verified forest management certification scheme (thousands of hectares),0.0
2005,Forest area under an independently verified forest management certification scheme (thousands of hectares),0.0
2010,Forest area under an independently verified forest management certification scheme (thousands of hectares),193.391
2015,Forest area under an independently verified forest management certification scheme (thousands of hectares),384.216
2016,Forest area under an independently verified forest management certification scheme (thousands of hectares),390.568
2017,Forest area under an independently verified forest management certification scheme (thousands of hectares),392.291
2018,Forest area under an independently verified forest management certification scheme (thousands of hectares),337.616
2019,Forest area under an independently verified forest management certification scheme (thousands of hectares),214.571
2020,Forest area under an independently verified forest management certification scheme (thousands of hectares),673.193
2010,Forest area annual net change rate (%),-0.14
2020,Forest area annual net change rate (%),-0.16
2000,Proportion of forest area under a long-term management plan (%),59.02
2010,Proportion of forest area under a long-term management plan (%),50.1
2015,Proportion of forest area under a long-term management plan (%),51.73
2016,Proportion of forest area under a long-term management plan (%),50.7
2017,Proportion of forest area under a long-term management plan (%),44.72
2018,Proportion of forest area under a long-term management plan (%),42.92
2019,Proportion of forest area under a long-term management plan (%),41.14
2020,Proportion of forest area under a long-term management plan (%),39.34
2000,Proportion of forest area within legally established protected areas (%),5.32
2010,Proportion of forest area within legally established protected areas (%),6.52
2015,Proportion of forest area within legally established protected areas (%),7.02
2016,Proportion of forest area within legally established protected areas (%),7.02
2017,Proportion of forest area within legally established protected areas (%),6.86
2018,Proportion of forest area within legally established protected areas (%),6.86
2019,Proportion of forest area within legally established protected areas (%),6.86
2020,Proportion of forest area within legally established protected areas (%),6.86
