Year,Category,Value
2002,Basic drinking water services,99
2003,Basic drinking water services,99
2004,Basic drinking water services,99
2005,Basic drinking water services,99
2006,Basic drinking water services,99
2007,Basic drinking water services,99
2008,Basic drinking water services,99
2009,Basic drinking water services,99
2010,Basic drinking water services,99
2011,Basic drinking water services,99
2012,Basic drinking water services,99
2013,Basic drinking water services,99
2014,Basic drinking water services,99
2015,Basic drinking water services,99
2016,Basic drinking water services,100
2017,Basic drinking water services,100
2018,Basic drinking water services,100
2019,Basic drinking water services,100
2020,Basic drinking water services,100
2000,Basic sanitation services,100
2001,Basic sanitation services,100
2002,Basic sanitation services,100
2003,Basic sanitation services,100
2004,Basic sanitation services,100
2005,Basic sanitation services,100
2006,Basic sanitation services,100
2007,Basic sanitation services,100
2008,Basic sanitation services,100
2009,Basic sanitation services,100
2010,Basic sanitation services,100
2011,Basic sanitation services,100
2012,Basic sanitation services,100
2013,Basic sanitation services,100
2014,Basic sanitation services,100
2015,Basic sanitation services,100
2016,Basic sanitation services,100
2017,Basic sanitation services,100
2018,Basic sanitation services,100
2019,Basic sanitation services,100
2020,Basic sanitation services,100
