Year,Units,Value
2000,Proportion of population using safely managed sanitation services,76
2001,Proportion of population using safely managed sanitation services,77
2002,Proportion of population using safely managed sanitation services,78
2003,Proportion of population using safely managed sanitation services,79
2004,Proportion of population using safely managed sanitation services,81
2005,Proportion of population using safely managed sanitation services,82
2006,Proportion of population using safely managed sanitation services,83
2007,Proportion of population using safely managed sanitation services,85
2008,Proportion of population using safely managed sanitation services,86
2009,Proportion of population using safely managed sanitation services,87
2010,Proportion of population using safely managed sanitation services,89
2011,Proportion of population using safely managed sanitation services,90
2012,Proportion of population using safely managed sanitation services,91
2013,Proportion of population using safely managed sanitation services,93
2014,Proportion of population using safely managed sanitation services,94
2015,Proportion of population using safely managed sanitation services,95
2016,Proportion of population using safely managed sanitation services,97
2017,Proportion of population using safely managed sanitation services,98
2018,Proportion of population using safely managed sanitation services,99
2019,Proportion of population using safely managed sanitation services,100
2020,Proportion of population using safely managed sanitation services,100
2000,Proportion of population practicing open defecation,0
2001,Proportion of population practicing open defecation,0
2002,Proportion of population practicing open defecation,0
2003,Proportion of population practicing open defecation,0
2004,Proportion of population practicing open defecation,0
2005,Proportion of population practicing open defecation,0
2006,Proportion of population practicing open defecation,0
2007,Proportion of population practicing open defecation,0
2008,Proportion of population practicing open defecation,0
2009,Proportion of population practicing open defecation,0
2010,Proportion of population practicing open defecation,0
2011,Proportion of population practicing open defecation,0
2012,Proportion of population practicing open defecation,0
2013,Proportion of population practicing open defecation,0
2014,Proportion of population practicing open defecation,0
2015,Proportion of population practicing open defecation,0
2016,Proportion of population practicing open defecation,0
2017,Proportion of population practicing open defecation,0
2018,Proportion of population practicing open defecation,0
2019,Proportion of population practicing open defecation,0
2020,Proportion of population practicing open defecation,0
