Year,Category,Value
2005,Dead or Missing Person,0.1086
2005,Directly affected Person,30.5941
2006,Dead or Missing Person,0.1415
2006,Directly affected Person,55.6053
2007,Dead or Missing Person,0.0477
2007,Directly affected Person,37.5003
2008,Dead or Missing Person,0.1343
2008,Directly affected Person,11.6431
2009,Dead or Missing Person,0.4878
2009,Directly affected Person,35.0652
2010,Dead or Missing Person,0.0737
2010,Directly affected Person,190.5883
2011,Dead or Missing Person,0.1647
2011,Directly affected Person,171.1633
2012,Dead or Missing Person,0.0423
2012,Directly affected Person,52.6418
2013,Dead or Missing Person,0.0319
2013,Directly affected Person,10.6232
2014,Dead or Missing Person,0.8169
2014,Directly affected Person,22.6798
2015,Dead or Missing Person,0.1314
2015,Directly affected Person,1.0587
2016,Dead or Missing Person,0.0507
2016,Directly affected Person,17.7966
2017,Dead or Missing Person,0.1398
2017,Directly affected Person,42.8818
2018,Dead or Missing Person,0.2825
2018,Directly affected Person,25.5414
2019,Dead or Missing Person,0.2143
2019,Directly affected Person,17.7503
2020,Dead or Missing Person,2.0889
2020,Directly affected Person,254.099
